OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,LAST_ANALYZED
SYSTEM,ADM_DETAUTOR,SYSTEM,0,2026-03-31 19:13:17
SYSTEM,AFJ_AFDETMOV,SYSTEM,0,2026-03-31 19:13:18
SYSTEM,AFJ_DETALLE,SYSTEM,7,2026-03-31 19:13:23
SYSTEM,ALM_DETABASC,SYSTEM,0,2026-03-31 19:13:29
SYSTEM,ALM_DETADESP,SYSTEM,7415,2026-03-31 19:13:30
SYSTEM,ALM_DETALOTE,SYSTEM,55535,2026-03-31 19:13:31
SYSTEM,ALM_DETAMOVI,SYSTEM,77963,2026-03-31 19:13:35
SYSTEM,ALM_DETAMOVI_BK,SYSTEM,6615,2026-03-31 19:13:37
SYSTEM,ALM_DETAPLAN,SYSTEM,0,2026-03-31 19:13:38
SYSTEM,ALM_DETAPROY,SYSTEM,0,2026-03-31 19:13:38
SYSTEM,ALM_DETAREQU,SYSTEM,40,2026-03-31 19:13:38
SYSTEM,ALM_DETARTLL,SYSTEM,0,2026-03-31 19:13:39
SYSTEM,ALM_DETATOFI,SYSTEM,0,2026-03-31 19:13:39
SYSTEM,ALM_PROYPROD,SYSTEM,0,2026-03-31 19:13:46
SYSTEM,ALM_TMPDETALOTE,SYSTEM,12392,2026-03-31 19:13:48
SYSTEM,ALM_TMPDETAMOVI,SYSTEM,31121,2026-03-31 19:13:49
SYSTEM,AUX_CLIENTE,SYSTEM,1358,2026-03-31 19:13:55
SYSTEM,AUX_INVENTARIO,SYSTEM,957,2026-03-31 19:13:55
SYSTEM,AUX_INVENTARIO_OB,SYSTEM,130,2026-03-31 19:13:56
SYSTEM,AUX_SALDO_CLIENTE,SYSTEM,620,2026-03-31 19:13:57
SYSTEM,AUX_VENTAS,SYSTEM,0,2026-03-31 19:13:57
SYSTEM,AUX_VENTASFAMP,SYSTEM,33465,2026-03-31 19:13:58
SYSTEM,BAK_ALM_DETALOTEJUL2023,SYSTEM,17347,2026-03-31 19:13:58
SYSTEM,BAK_ALM_DETALOTE_2182023_951AM,SYSTEM,19022,2026-03-31 19:13:58
SYSTEM,BAK_ALM_DETAMOVI_16112022,SYSTEM,4733,2026-03-31 19:13:59
SYSTEM,BAK_ALM_DETAMOVI_2182023_951AM,SYSTEM,20365,2026-03-31 19:14:00
SYSTEM,BAK_ALM_TMPDETALOTE21082023,SYSTEM,4396,2026-03-31 19:14:01
SYSTEM,BAK_AUX_VENTASFAMP,SYSTEM,32188,2026-03-31 19:14:03
SYSTEM,CLI_ACTIVCLIEN,SYSTEM,0,2026-03-31 19:14:13
SYSTEM,CLI_DETAINGEGR,SYSTEM,10,2026-03-31 19:14:17
SYSTEM,CLI_DETALINE,SYSTEM,0,2026-03-31 19:14:17
SYSTEM,CLI_DETAVISITA,SYSTEM,0,2026-03-31 19:14:17
SYSTEM,CLIENTE_AUX,SYSTEM,1961,2026-03-31 19:14:13
SYSTEM,CLI_PROPICLIEN,SYSTEM,4,2026-03-31 19:14:25
SYSTEM,CNT_DETASIENTO,SYSTEM,155399,2026-03-31 19:14:42
SYSTEM,CNT_DETIPIMP,SYSTEM,12,2026-03-31 19:14:43
SYSTEM,COB_DETACHEQ,SYSTEM,0,2026-03-31 19:14:50
SYSTEM,COB_DETACOBRO,SYSTEM,12058,2026-03-31 19:14:51
SYSTEM,COB_DETADEBI,SYSTEM,0,2026-03-31 19:14:51
SYSTEM,COM_DETACOMP,SYSTEM,0,2026-03-31 19:14:55
SYSTEM,COM_DETASOLI,SYSTEM,0,2026-03-31 19:14:56
SYSTEM,COM_DETORDCP,SYSTEM,0,2026-03-31 19:14:56
SYSTEM,COM_PLANPAGO,SYSTEM,10249,2026-03-31 19:14:58
SYSTEM,COM_TMPCOMPRAS,SYSTEM,9895,2026-03-31 19:15:00
SYSTEM,CST_DETARECT,SYSTEM,0,2026-03-31 19:15:02
SYSTEM,CST_DETCENCS,SYSTEM,0,2026-03-31 19:15:03
SYSTEM,CST_ORDEPROD,SYSTEM,0,2026-03-31 19:15:03
SYSTEM,CST_PRODUCCN,SYSTEM,0,2026-03-31 19:15:04
