CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN
SYSTEM,ADM_DETAUTOR,DTAU_AUTO_FK,1,AUTO_AUTO_ID,SYSTEM,ADM_AUTORIZA,AUTO_ID
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,1,AFRQ_NUMERO,SYSTEM,AFJ_AFREQUIS,NUMERO
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,2,AFRQ_ENTRSALE,SYSTEM,AFJ_AFREQUIS,ENTRSALE
SYSTEM,AFJ_AFDETMOV,AFDM_INRN_FK,1,INRN_ID,SYSTEM,INF_RESPNODO,INRN_ID
SYSTEM,AFJ_AFDETMOV,AFDM_MEMO_FK,1,MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,1,RCDP_COMPANIA,SYSTEM,CLI_RCCLDAPE,CLTE_COMPANIA
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,2,RCDP_IDCLIENTE,SYSTEM,CLI_RCCLDAPE,CLTE_IDCLIENTE
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,3,RCDP_IDRESCLI,SYSTEM,CLI_RCCLDAPE,IDRESCLI
SYSTEM,AFJ_AFDETMOV,AFDM_STCT_FK,1,STCT_ID,SYSTEM,SRV_STCOTRRE,ID
SYSTEM,AFJ_AFDETMOV,AFDM_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR
SYSTEM,AFJ_DETALLE,DAC1_MEMO_FK,1,MEMO_MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID
SYSTEM,INF_ASOCONEX,IFCO_AFDM_FK,1,AFDM_AFDM_ID,SYSTEM,AFJ_AFDETMOV,AFDM_ID
