OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
SYSTEM,ADM_DETAUTOR,1,AUTO_AUTO_ID,NUMBER,22,10,0,N
SYSTEM,ADM_DETAUTOR,2,DTAU_ID,NUMBER,22,10,0,N
SYSTEM,ADM_DETAUTOR,3,FECHCREA,DATE,7,,,N
SYSTEM,ADM_DETAUTOR,4,USUACREA,VARCHAR2,20,,,N
SYSTEM,ADM_DETAUTOR,5,FECHACTU,DATE,7,,,Y
SYSTEM,ADM_DETAUTOR,6,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,AFJ_AFDETMOV,1,AFDM_ID,NUMBER,22,10,0,N
SYSTEM,AFJ_AFDETMOV,2,USUACLAV,VARCHAR2,50,,,Y
SYSTEM,AFJ_AFDETMOV,3,IPEQUIPO,VARCHAR2,20,,,Y
SYSTEM,AFJ_AFDETMOV,4,MACEQUIPO,VARCHAR2,100,,,Y
SYSTEM,AFJ_AFDETMOV,5,FECHHORA,DATE,7,,,N
SYSTEM,AFJ_AFDETMOV,6,ENTRSALE,VARCHAR2,1,,,N
SYSTEM,AFJ_AFDETMOV,7,CANTIDAD,NUMBER,22,18,6,Y
SYSTEM,AFJ_AFDETMOV,8,UMED_UNIDMEDI,VARCHAR2,5,,,N
SYSTEM,AFJ_AFDETMOV,9,DESCRIPC,VARCHAR2,80,,,Y
SYSTEM,AFJ_AFDETMOV,10,INRN_ID,NUMBER,22,10,0,Y
SYSTEM,AFJ_AFDETMOV,11,RCDP_IDCLIENTE,NUMBER,22,10,0,Y
SYSTEM,AFJ_AFDETMOV,12,RCDP_IDRESCLI,NUMBER,22,10,0,Y
SYSTEM,AFJ_AFDETMOV,13,RHHS_CEDURUC,VARCHAR2,13,,,Y
SYSTEM,AFJ_AFDETMOV,14,RCDP_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,AFJ_AFDETMOV,15,AFIJ_CODIGO,VARCHAR2,20,,,N
SYSTEM,AFJ_AFDETMOV,16,AFIJ_CLASE,VARCHAR2,10,,,N
SYSTEM,AFJ_AFDETMOV,17,AFIJ_COMPANIA,VARCHAR2,10,,,N
SYSTEM,AFJ_AFDETMOV,18,STCT_ID,NUMBER,22,10,0,Y
SYSTEM,AFJ_AFDETMOV,19,MEMO_ID,NUMBER,22,10,0,Y
SYSTEM,AFJ_AFDETMOV,20,AFRQ_NUMERO,NUMBER,22,10,0,N
SYSTEM,AFJ_AFDETMOV,21,AFRQ_ENTRSALE,VARCHAR2,10,,,N
SYSTEM,AFJ_AFDETMOV,22,VIGENTE,VARCHAR2,1,,,N
SYSTEM,AFJ_AFDETMOV,23,USUACREA,VARCHAR2,20,,,N
SYSTEM,AFJ_AFDETMOV,24,FECHCREA,DATE,7,,,N
SYSTEM,AFJ_AFDETMOV,25,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,AFJ_AFDETMOV,26,FECHACTU,DATE,7,,,Y
SYSTEM,AFJ_DETALLE,1,AFIJ_CLASE,VARCHAR2,10,,,Y
SYSTEM,AFJ_DETALLE,2,AFIJ_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,AFJ_DETALLE,3,AFIJ_CODIGO,VARCHAR2,20,,,Y
SYSTEM,AFJ_DETALLE,4,MEMO_MEMO_ID,NUMBER,22,10,0,N
SYSTEM,AFJ_DETALLE,5,OBS,VARCHAR2,500,,,Y
SYSTEM,AFJ_DETALLE,6,ASTO_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,AFJ_DETALLE,7,ASTO_NUMEDIAR,NUMBER,22,10,0,Y
SYSTEM,AFJ_DETALLE,8,DAC1_ID,NUMBER,22,10,0,N
SYSTEM,AFJ_DETALLE,9,FECHCREA,DATE,7,,,N
SYSTEM,AFJ_DETALLE,10,USUACREA,VARCHAR2,20,,,N
SYSTEM,AFJ_DETALLE,11,FECHACTU,DATE,7,,,Y
SYSTEM,AFJ_DETALLE,12,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,ALM_DETABASC,1,NUMEGUIA,VARCHAR2,15,,,Y
SYSTEM,ALM_DETABASC,2,FECHINGRE,DATE,7,,,N
SYSTEM,ALM_DETABASC,3,FECHSALE,DATE,7,,,Y
SYSTEM,ALM_DETABASC,4,PESOTARA,NUMBER,22,10,4,N
SYSTEM,ALM_DETABASC,5,VALOPESO,NUMBER,22,16,2,N
SYSTEM,ALM_DETABASC,6,DTBA_ID,NUMBER,22,10,0,N
SYSTEM,ALM_DETABASC,7,FECHCREA,DATE,7,,,N
SYSTEM,ALM_DETABASC,8,USUACREA,VARCHAR2,20,,,N
SYSTEM,ALM_DETABASC,9,FECHACTU,DATE,7,,,Y
SYSTEM,ALM_DETABASC,10,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,ALM_DETABASC,11,DESCRIPC,VARCHAR2,240,,,Y
SYSTEM,ALM_DETABASC,12,UMED_UNIDMEDI,VARCHAR2,5,,,N
SYSTEM,ALM_DETABASC,13,PESOINGR,NUMBER,22,10,4,N
SYSTEM,ALM_DETABASC,14,PESOSALE,NUMBER,22,10,4,N
SYSTEM,ALM_DETABASC,15,PROCEDEN,VARCHAR2,60,,,Y
SYSTEM,ALM_DETABASC,16,ORCP_NUMEORDE,NUMBER,22,10,0,Y
SYSTEM,ALM_DETABASC,17,ORCP_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ALM_DETABASC,18,ORCP_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ALM_DETABASC,19,PRFM_PRFM_ID,NUMBER,22,10,0,Y
SYSTEM,ALM_DETADESP,1,EGEN_ESTADO,VARCHAR2,2,,,N
SYSTEM,ALM_DETADESP,2,DTPS_ID,NUMBER,22,10,0,N
SYSTEM,ALM_DETADESP,3,IDCLIENTE,VARCHAR2,20,,,N
SYSTEM,ALM_DETADESP,4,NOMBRE,VARCHAR2,200,,,N
SYSTEM,ALM_DETADESP,5,COMPANIA,VARCHAR2,10,,,N
SYSTEM,ALM_DETADESP,6,OFICINA,VARCHAR2,3,,,N
SYSTEM,ALM_DETADESP,7,SERIE,VARCHAR2,6,,,N
SYSTEM,ALM_DETADESP,8,FACTURA,NUMBER,22,10,0,N
SYSTEM,ALM_DETADESP,9,TIPOCOM,VARCHAR2,2,,,N
SYSTEM,ALM_DETADESP,10,FFACTURA,DATE,7,,,N
SYSTEM,ALM_DETADESP,11,OBS,VARCHAR2,500,,,Y
SYSTEM,ALM_DETADESP,12,CSTOFLET,NUMBER,22,,,N
SYSTEM,ALM_DETADESP,13,DESTINO,VARCHAR2,200,,,N
